Year	State	Calories	Protein	Fat	Sodium	Fiber	Carbo	Sugars	Potassium	Vitamins	Cups	Rating
2012	100% Bran	70	4	1	130	10	5	6	280	25	0.33	68.40
2012	Apple Jacks	110	2	0	125	1	11	14	30	25	1	33.17
2012	Cheerios	110	6	2	290	2	17	1	105	25	1.25	50.76
2012	Cocoa Puffs	110	1	1	180	0	12	13	55	25	1	22.73
2012	Corn Flakes	100	2	0	290	1	21	2	35	25	1	45.86
2012	Corn Pops	110	1	0	90	1	13	12	20	25	1	35.78
2012	Froot Loops	110	2	1	125	1	11	13	30	25	1	1
2012	Frosted Flakes	110	1	0	200	1	14	11	25	25	0.75	31.43
2012	Fruity Pebbles	110	1	1	135	0	13	12	25	25	0.75	28.02
2012	Honey Nut Cheerios	110	3	1	250	1.5	11.5	10	90	25	0.75	31.07
2012	Raisin Bran	120	3	1	210	5	14	12	240	25	0.75	39.25
2012	Rice Krispies	110	2	0	290	0	22	3	35	25	1	40.56
2012	Special K	110	6	0	230	1	16	3	55	25	1	53.13
